Station_Name,Shinkansen_Line,Year,Prefecture,Distance from Tokyo st,Company,0,coordinates
TOKYO,Tokaido_Shinkansen,1964,Tokyo,0.0,JR_Central,AQ125,"[139.76519775390602, 35.67526626586909]"
SHINAGAWA,Tokaido_Shinkansen,2003,Tokyo,6.8,JR_Central,AQ125,"[139.74040222168, 35.63093185424801]"
SHIN-YOKOHAMA,Tokaido_Shinkansen,1964,Kanagawa,28.8,JR_Central,,
ODAWARA,Tokaido_Shinkansen,1964,Kanagawa,83.9,JR_Central,AQ125,"[139.15310668945295, 35.256866455078054]"
ATAMI,Tokaido_Shinkansen,1964,Shizuoka,104.6,JR_Central,AQ125,"[139.07562615177625, 35.10425892884005]"
MISHIMA,Tokaido_Shinkansen,1969,Shizuoka,120.7,JR_Central,AQ125,"[138.90989685058602, 35.12680053710941]"
SHIN-FUJI,Tokaido_Shinkansen,1988,Shizuoka,146.2,JR_Central,,
SHIZUOKA,Tokaido_Shinkansen,1964,Shizuoka,180.2,JR_Central,AQ125,"[138.39059448242202, 34.97093200683594]"
KAKEGAWA,Tokaido_Shinkansen,1988,Shizuoka,229.3,JR_Central,AQ125,"[138.01600240306294, 34.76764214020078]"
HAMAMATSU,Tokaido_Shinkansen,1964,Shizuoka,257.1,JR_Central,AQ125,"[137.73179626464795, 34.701000213623004]"
TOYOHASHI,Tokaido_Shinkansen,1964,Aichi,293.6,JR_Central,AQ125,"[137.38020324706994, 34.76193237304692]"
MIKAWA-ANJO,Tokaido_Shinkansen,1988,Aichi,336.3,JR_Central,,
NAGOYA,Tokaido_Shinkansen,1964,Aichi,336.0,JR_Central,AQ125,"[136.88150024414097, 35.16913223266604]"
GIFU-HASHIMA,Tokaido_Shinkansen,1964,Gifu,396.3,JR_Central,,
MAIBARA,Tokaido_Shinkansen,1964,Shiga,445.9,JR_Central,AQ125,"[136.28632077945696, 35.3085441323383]"
KYOTO,Tokaido_Shinkansen,1964,Kyoto,513.6,JR_Central,AQ125,"[135.754013061523, 34.984802246093786]"
SHIN-OSAKA,Tokaido_Shinkansen+Sanyo_Shinkansen,1964,Osaka,552.6,JR_Central,,
SHIN-KOBE,Sanyo_Shinkansen,1972,Hyogo,589.5,JR_West,,
NISHI-AKASHI,Sanyo_Shinkansen,1972,Hyogo,612.3,JR_West,,
HIMEJI,Sanyo_Shinkansen,1972,Hyogo,644.3,JR_West,AQ125,"[134.68394470214804, 34.82549285888671]"
AIOI,Sanyo_Shinkansen,1972,Hyogo,665.0,JR_West,AQ125,"[134.47399902343804, 34.81813430786131]"
OKAYAMA,Sanyo_Shinkansen,1972,Okayama,732.9,JR_West,AQ125,"[133.91859436035196, 34.66566467285156]"
SHIN-KURASHIKI,Sanyo_Shinkansen,1975,Okayama,758.1,JR_West,,
FUKUYAMA,Sanyo_Shinkansen,1975,Hiroshima,791.2,JR_West,AQ125,"[133.3644038831144, 34.48962739884901]"
SHIN-ONOMICHI,Sanyo_Shinkansen,1988,Hiroshima,811.3,JR_West,,
MIHARA,Sanyo_Shinkansen,1975,Hiroshima,822.8,JR_West,AQ125,"[133.08542790771904, 34.40173340157526]"
HIGASHI-HIROSHIMA,Sanyo_Shinkansen,1988,Hiroshima,862.4,JR_West,,
HIROSHIMA,Sanyo_Shinkansen,1975,Hiroshima,894.2,JR_West,AQ125,"[132.47348594501295, 34.400551251043154]"
SHIN-IWAKUNI,Sanyo_Shinkansen,1975,Yamaguchi,935.6,JR_West,,
TOKUYAMA,Sanyo_Shinkansen,1975,Yamaguchi,982.7,JR_West,AQ125,"[131.80055422077416, 34.051744598626314]"
SHIN-YAMAGUCHI,Sanyo_Shinkansen,1975,Yamaguchi,1027.0,JR_West,,
ASA,Sanyo_Shinkansen,1999,Yamaguchi,1062.1,JR_West,AQ125,"[131.15809631347696, 34.05253219604491]"
SHIN-SHIMONOSEKI,Sanyo_Shinkansen,1975,Yamaguchi,1088.7,JR_West,,
